rep,nl_pct,mfcc_pct,covarep_pct
77,22.390290780181722,40.44865771049287,37.16105150932541
78,23.3131765702228,44.337928471568354,32.34889495820884
79,26.191775195210745,38.10503493066254,35.703189874126714
80,26.601000051256804,40.28294372653612,33.11605622220707
81,26.751451416756247,33.119465650137194,40.12908293310656
82,26.914117929267135,38.8209066072354,34.264975463497485
83,28.411638459817897,41.350212789176005,30.238148751006083
84,25.60257024529702,40.55832262996615,33.839107124736834
85,25.123853183898728,45.523984530144745,29.352162285956528
86,23.274526174895705,43.4521380080112,33.2733358170931
87,25.513217278256427,45.90861991629959,28.578162805443984
88,24.923195452942885,41.452992768415506,33.62381177864161
89,23.436149978676276,42.08340780701901,34.48044221430473
90,28.330609465681018,39.99272971870609,31.676660815612873
91,24.151399611235412,41.25721655826606,34.591383830498536
92,30.12607300280417,44.96033760693673,24.9135893902591
93,26.160808785632273,45.13838822598053,28.700802988387196
94,27.491957247147656,36.966208135991735,35.54183461686061
95,25.46320769189847,48.81404072825154,25.72275157984998
96,24.958380288623943,41.16749011019719,33.87412960117888
97,25.45666365626983,39.17393942896965,35.369396914760515
98,24.127049645177912,43.13395474279125,32.73899561203083
99,23.78432186406308,43.521226537107005,32.69445159882992
100,24.393135583545376,53.18914427734634,22.417720139108283
101,24.49875646343901,43.22467259857792,32.276570937983074
102,28.854958071586097,42.57511241761453,28.56992951079938
103,30.0526776252214,38.60225691248879,31.345065462289817
104,24.018178820576598,40.535369666941094,35.44645151248232
105,29.7535411019665,48.617887199195664,21.628571698837845
106,27.795930493578457,50.08364985439871,22.120419652022846
107,24.91833166186178,44.66680183749643,30.41486650064178
108,30.326937065675526,49.2299841300433,20.44307880428117
109,28.00174233764166,37.13563117315948,34.862626489198846
110,25.76790641754708,42.542458865519606,31.68963471693331
111,26.797869883335277,52.72949863682797,20.472631479836753
112,25.144813728754556,42.32413260310479,32.53105366814066
113,28.192201715812036,45.38318007087137,26.424618213316585
114,30.007245571092746,50.894101055890616,19.098653373016635
115,26.535885973337862,35.77602953298239,37.688084493679746
116,24.76734843004489,46.05420176055885,29.178449809396255
117,29.43663964034223,45.13907997512196,25.42428038453582
118,24.906754962015107,41.72254285267318,33.37070218531173
119,32.022803842473884,48.11383339380578,19.863362763720332
120,27.206058566891723,39.74330498118612,33.05063645192215
121,27.163592542274063,44.82773003312225,28.008677424603686
122,30.70171430216132,41.286494539555825,28.01179115828284
123,23.221852907893123,38.32424223830428,38.453904853802584
124,26.994171544600867,40.55405822053783,32.45177023486131
125,30.80521549207549,36.84150343592649,32.35328107199801
126,23.34547035579233,39.33582410908429,37.318705535123385
127,24.48362883102849,43.27955374227226,32.23681742669926
128,24.203299377491128,37.29073671967399,38.50596390283487
129,30.162390593800154,35.64094305025983,34.19666635594003
130,33.934251626387876,46.94299038032983,19.122757993282303
131,27.13868411901502,34.487516004279335,38.37379987670566
132,24.171150033158604,43.50407678978965,32.32477317705173
133,31.950002383677752,43.02231683423781,25.02768078208442
